Coder_ID,Pair_type,Word_ID,Word,POS,Note,They_Q1,They_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Distinctiveness,Relatedness,Causing,Caused,Meaning_label
2,verb,3313,be sad,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
2,verb,3314,be scared,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
2,verb,3315,be surprised,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
2,verb,3316,envy,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
2,verb,3317,feel at ease,verb,emotionally at ease,yes,yes,no,no,yes,yes,yes,yes,no,yes,1.0
2,verb,3317,feel at ease,verb,physically at ease,yes,yes,yes,no,yes,yes,yes,yes,no,yes,2.0
2,verb,3318,be jealous,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
2,verb,3319,give up,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
2,verb,3320,celebrate,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
2,verb,3321,bother,verb,"irritate ""they bother me""",yes,yes,no,no,no,yes,yes,no,yes,no,1.0
2,verb,3321,bother,verb,"care ""they bothered to show up""",yes,yes,no,no,no,yes,yes,no,yes,no,2.0
2,verb,3322,mourn,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
2,verb,3323,be short-tempered,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
2,verb,3324,be content,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
2,verb,3325,feel,verb,like touch,yes,yes,yes,no,no,yes,yes,no,yes,no,1.0
2,verb,3325,feel,verb,like feel for something or for someone,yes,yes,no,no,no,yes,yes,no,no,yes,2.0
2,verb,3326,be infuriated,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
2,verb,3327,content,verb,used oed,yes,yes,no,no,no,no,,,yes,no,1.0
2,verb,3328,ignore,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
2,verb,3329,anguish,verb,used oed,yes,yes,no,no,yes,no,,,yes,yes,1.0
2,verb,3330,be irritated,verb,physically irritated,yes,yes,yes,no,no,yes,yes,yes,no,yes,1.0
2,verb,3330,be irritated,verb,emotionally irritated,yes,yes,no,no,no,yes,yes,yes,no,yes,2.0
2,verb,3331,apprehend,verb,used oed - to arrest,yes,yes,no,no,yes,yes,yes,no,yes,no,1.0
2,verb,3331,apprehend,verb,to understand,yes,yes,no,no,no,yes,yes,no,yes,yes,2.0
1,verb,3332,antagonize,verb,,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3333,be frustrated,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3334,be fascinated,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3335,wonder,verb,,yes,yes,no,yes,no,no,,,yes,no,1.0
1,verb,3336,give,verb,,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3337,respect and love,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3338,value,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3339,turn sulky,verb,,yes,yes,no,no,yes,no,,,no,yes,1.0
1,verb,3340,revere,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3341,welcome,verb,,no,yes,no,no,yes,no,,,yes,no,1.0
1,verb,3342,be convinced,verb,,yes,yes,no,yes,no,no,,,no,yes,1.0
1,verb,3343,overawe,verb,unfamiliar to me,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3344,be baffled,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3345,worry,verb,transitive sense (they worry me),no,yes,no,no,no,yes,no,yes,yes,no,1.0
